130,BRK-A,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA,774.03B,8.94,533815.00,0.66%,"8,005"
131,BRK-B,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,USA,763.80B,8.84,351.81,0.80%,"4,403,448"
132,BRKR,Bruker Corp,Healthcare,Medical Devices,USA,8.64B,27.19,58.82,4.27%,"983,983"
133,BRO,"Brown & Brown, Inc.",Financial,Insurance Brokers,USA,20.07B,26.87,70.53,-0.54%,"2,353,085"
134,BSM,"Black Stone Minerals, L.P.",Energy,Oil & Gas E&P,USA,3.88B,7.52,18.36,0.33%,"707,165"
135,BSVN,Bank7 Corp,Financial,Banks - Regional,USA,202.25M,5.74,22.08,6.36%,"13,621"
136,BTE,Baytex Energy Corp,Energy,Oil & Gas E&P,Canada,3.82B,4.81,4.43,-2.21%,"14,491,359"
137,BTI,British American Tobacco Plc ADR,Consumer Defensive,Tobacco,United Kingdom,69.35B,6.70,31.09,1.24%,"2,619,330"
138,BTU,Peabody Energy Corp.,Energy,Thermal Coal,USA,3.15B,3.14,23.70,0.30%,"1,546,749"
139,BUSE,First Busey Corp.,Financial,Banks - Regional,USA,1.15B,8.95,20.88,3.06%,"135,881"
140,BWA,BorgWarner Inc,Consumer Cyclical,Auto Parts,USA,7.84B,10.78,33.36,3.41%,"5,499,387"
141,BWB,Bridgewater Bancshares Inc,Financial,Banks - Regional,USA,288.19M,7.18,10.30,4.15%,"44,761"
142,BWFG,Bankwell Financial Group Inc,Financial,Banks - Regional,USA,205.77M,5.67,26.28,4.29%,"10,783"
143,BXC,Bluelinx Hldgs Inc,Industrials,Industrial Distribution,USA,703.53M,7.38,80.22,5.06%,"94,340"
144,BY,Byline Bancorp Inc,Financial,Banks - Regional,USA,879.48M,7.63,20.13,2.70%,"113,455"
145,BZH,Beazer Homes USA Inc.,Consumer Cyclical,Residential Construction,USA,898.52M,4.64,28.67,5.87%,"458,104"
146,CACI,Caci International Inc.,Technology,Information Technology Services,USA,7.29B,19.88,327.06,0.29%,"88,835"
147,CALB,California Bancorp,Financial,Banks - Regional,USA,175.73M,7.40,20.97,2.24%,"8,418"
148,CALM,"Cal-Maine Foods, Inc.",Consumer Defensive,Farm Products,USA,2.43B,3.82,49.54,-0.36%,"872,307"
149,CAMT,Camtek Ltd,Technology,Semiconductor Equipment & Materials,Israel,2.53B,34.98,56.47,2.67%,"315,741"
150,CARG,CarGurus Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,2.12B,7.69,18.67,4.89%,"870,025"
151,CARS,Cars.com,Consumer Cyclical,Auto & Truck Dealerships,USA,1.20B,10.30,18.12,7.79%,"716,027"
152,CASH,Pathward Financial Inc,Financial,Banks - Regional,USA,1.28B,8.10,48.62,1.21%,"170,893"
153,CASS,Cass Information Systems Inc,Industrials,Specialty Business Services,USA,540.24M,17.64,39.52,1.15%,"47,359"
154,CASY,"Casey's General Stores, Inc.",Consumer Cyclical,Specialty Retail,USA,10.20B,22.17,273.57,1.04%,"154,019"
155,CATY,Cathay General Bancorp,Financial,Banks - Regional,USA,2.70B,7.36,37.23,3.73%,"320,055"
156,CB,Chubb Limited,Financial,Insurance - Property & Casualty,Switzerland,89.26B,12.93,218.79,0.09%,"2,010,033"
157,CBFV,CB Financial Services Inc,Financial,Banks - Regional,USA,108.90M,7.92,21.27,-0.28%,"3,760"
158,CBNK,Capital Bancorp Inc,Financial,Banks - Regional,USA,291.90M,8.29,20.94,4.80%,"17,931"
159,CBOE,Cboe Global Markets Inc.,Financial,Financial Data & Stock Exchanges,USA,17.89B,27.80,169.50,4.12%,"1,450,460"
160,CBZ,Cbiz Inc,Industrials,Specialty Business Services,USA,2.73B,22.71,54.85,1.80%,"202,262"
161,CCB,Coastal Financial Corp,Financial,Banks - Regional,USA,538.25M,11.32,40.47,4.28%,"78,880"
162,CCBG,"Capital City Bank Group, Inc.",Financial,Banks - Regional,USA,503.07M,9.28,29.61,0.95%,"21,830"
163,CCNE,CNB Financial Corp (PA),Financial,Banks - Regional,USA,418.00M,7.59,20.00,4.71%,"49,777"
164,CCRN,"Cross Country Healthcares, Inc.",Healthcare,Medical Care Facilities,USA,693.45M,6.34,19.37,-2.71%,"807,702"
165,CCS,Century Communities Inc,Consumer Cyclical,Residential Construction,USA,2.22B,9.09,69.84,4.91%,"340,665"
166,CCVI,Churchill Capital Corp VI,Financial,Shell Companies,USA,432.52M,45.98,10.47,-0.10%,520
167,CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,USA,67.89B,71.11,249.54,2.07%,"1,525,364"
168,CDRE,Cadre Holdings Inc,Industrials,Aerospace & Defense,USA,1.08B,36.59,28.60,1.20%,"125,258"
169,CEIX,Consol Energy Inc,Energy,Thermal Coal,USA,3.03B,4.89,97.82,-0.10%,"445,528"
170,CF,CF Industries Holdings Inc,Basic Materials,Agricultural Inputs,USA,15.74B,7.58,81.55,1.53%,"2,069,765"
171,CFBK,CF Bankshares Inc,Financial,Banks - Regional,USA,102.25M,5.77,15.61,2.50%,"2,782"
172,CFFI,C & F Financial Corp,Financial,Banks - Regional,USA,186.45M,6.57,55.00,1.85%,"7,043"
173,CGNX,Cognex Corp.,Technology,Scientific & Technical Instruments,USA,6.24B,39.94,36.26,2.92%,"1,250,819"
174,CHCI,Comstock Holding Co. Inc,Real Estate,Real Estate - Diversified,USA,40.73M,6.91,4.22,-5.14%,"12,519"
175,CHCO,City Holding Co.,Financial,Banks - Regional,USA,1.45B,12.39,96.91,2.09%,"65,930"
176,CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,USA,21.36B,49.61,86.80,-5.61%,"4,526,201"
177,CHE,Chemed Corp.,Healthcare,Medical Care Facilities,USA,8.84B,36.37,587.24,1.40%,"121,093"
178,CHK,Chesapeake Energy Corp.,Energy,Oil & Gas E&P,USA,11.71B,2.43,89.36,0.74%,"1,617,353"
179,CHKP,Check Point Software Technologies Ltd.,Technology,Software - Infrastructure,Israel,16.53B,19.13,136.92,0.25%,"634,795"
180,CHMG,Chemung Financial Corp.,Financial,Banks - Regional,USA,206.97M,7.23,43.85,3.66%,"10,028"
181,CHRD,Chord Energy Corp,Energy,Oil & Gas E&P,USA,7.15B,6.81,172.25,-0.90%,"555,659"
182,CHT,Chunghwa Telecom ADR,Communication Services,Telecom Services,Taiwan,28.31B,23.31,36.50,0.58%,"205,310"
183,CHUY,Chuy's Holdings Inc,Consumer Cyclical,Restaurants,USA,613.72M,21.67,34.02,0.56%,"186,896"
184,CHX,ChampionX Corp.,Energy,Oil & Gas Equipment & Services,USA,6.10B,20.69,31.29,-0.06%,"2,596,419"
185,CI,Cigna Group,Healthcare,Healthcare Plans,USA,91.95B,17.53,310.65,-2.58%,"1,580,254"
186,CIG,Cia Energetica DE Minas Gerais - Cemig ADR,Utilities,Utilities - Diversified,Brazil,3.69B,5.47,2.52,1.61%,"1,852,035"
187,CIG-C,Cia Energetica DE Minas Gerais - Cemig ADR,Utilities,Utilities - Diversified,Brazil,2.60B,7.69,3.54,4.12%,"32,237"
188,CINF,Cincinnati Financial Corp.,Financial,Insurance - Property & Casualty,USA,15.83B,9.54,100.88,0.99%,"672,821"
189,CINT,CI&T Inc,Technology,Software - Infrastructure,Brazil,676.76M,20.79,5.08,4.53%,"34,906"
190,CIVI,Civitas Resources Inc,Energy,Oil & Gas E&P,USA,7.22B,6.31,76.96,-0.19%,"1,170,395"
191,CIX,"Compx International, Inc.",Industrials,Security & Protection Services,USA,240.91M,11.66,19.57,4.93%,"2,681"
192,CKHL,Chi Ko Holdings Ltd,Industrials,Engineering & Construction,Hong Kong,-,-,-,-,0
193,CLFD,Clearfield Inc,Technology,Communication Equipment,USA,395.23M,8.00,25.90,0.39%,"224,581"
194,CLMB,Climb Global Solutions Inc,Technology,Electronics & Computer Distribution,USA,197.10M,16.34,43.13,2.64%,"9,232"
195,CLRO,ClearOne Inc,Technology,Communication Equipment,USA,16.01M,0.80,0.67,-0.25%,"52,574"
